"Method","Mean_Estimate","Variance","MSE","Time_per_Rep"
"Importance Sampling",0.775905832764099,0.000621129498703558,0.000661947836466615,0.00013796
"Rejection Sampling",0.811288180581674,0.000958772166885724,0.0017993908465288,0.00812232
"SIR",0.772663398602803,0.000930706004729536,0.00102346904649766,0.00224619
"Riemann Strategy",0.769321611315406,6.83045485530204e-05,0.000236607026786196,0.00011683
